 index A + B → Y
128 : COC1=C(C=C(C=C1)Br)[N+](=O)[O-] + C[C@@H]1CNC[C@@H](N1)C → C[C@@H]1CN(C[C@@H](N1)C)C2=CC(=C(C=C2)OC)[N+](=O)[O-]
129 : CNC(=O)C1=C(C=CC=C1OC)NC2=CC(=NC=C2C(F)(F)F)Cl + CC1=NN(C(=C1)N)C → CC1=NN(C(=C1)NC2=NC=C(C(=C2)NC3=C(C(=CC=C3)OC)C(=O)NC)C(F)(F)F)C
130 : CC(C)OCC1CN(CC2=C(O1)N=C(C=C2)Cl)C + CC1=CN(C=N1)C2=C(C=C(C=C2)N)OC → CC1=CN(C=N1)C2=C(C=C(C=C2)NC3=NC4=C(CN(CC(O4)COC(C)C)C)C=C3)OC
131 : CN1C[C@H](OC2=C(C1)C=CC(=N2)Cl)C3=CC=CC=C3 + CC1=NN(C=N1)C2=C(C=C(C=C2)N)OC → CC1=NN(C=N1)C2=C(C=C(C=C2)NC3=NC4=C(CN(C[C@H](O4)C5=CC=CC=C5)C)C=C3)OC
132 : CC1=C(C(=NN1C)C)NC2=NC=C(C(=C2)I)C(F)(F)F + CONC(=O)C1=CC=CC=C1N → CC1=C(C(=NN1C)C)NC2=NC=C(C(=C2)NC3=CC=CC=C3C(=O)NOC)C(F)(F)F
133 : CCOC(=O)C1=CC2=C(O1)C=CC=C2Br + C1CN(CCN1)CC2=CC=CC=C2 → CCOC(=O)C1=CC2=C(C=CC=C2O1)N3CCN(CC3)CC4=CC=CC=C4
134 : C1=CC=NC(=C1)Br + C1CNCCC12OCCO2 → C1CN(CCC12OCCO2)C3=CC=CC=N3
135 : C1=CN=C(N=C1Cl)Cl + C1=CC(=CC(=C1)S(=O)(=O)N)N → C1=CC(=CC(=C1)S(=O)(=O)N)NC2=NC=CC(=N2)Cl
136 : CCOC(=O)C1=CC(=CN=C1)Br + C1COCCN1 → CCOC(=O)C1=CC(=CN=C1)N2CCOCC2
137 : CC(C)(C)OC(=O)C1=CC(=CN=C1)Br + C1COCCN1 → CC(C)(C)OC(=O)C1=CC(=CN=C1)N2CCOCC2
138 : C1=CC2=C(C=C1Br)NN=C2 + C1=CC=C(C(=C1)N)Cl → C1=CC=C(C(=C1)NC2=CC3=C(C=C2)C=NN3)Cl
139 : CN1CC(OC2=C(C1)C=CC(=N2)Cl)C3=CC=CC=C3 + CC1=CN(C=N1)C2=C(C=C(C=C2)N)OC → CC1=CN(C=N1)C2=C(C=C(C=C2)NC3=NC4=C(CN(CC(O4)C5=CC=CC=C5)C)C=C3)OC
140 : C1=CC(=CC=C1O)Br + CN1CCNCC1 → CN1CCN(CC1)C2=CC=C(C=C2)O
141 : C1CNC(=O)C2=C1C=C(C=C2)Br + C1=CC=C(C=C1)CN → C1CNC(=O)C2=C1C=C(C=C2)NCC3=CC=CC=C3
142 : CC(C)OCC1CN(CC2=C(O1)N=C(C=C2)Cl)C(=O)C + CC1=CN(C=N1)C2=C(C=C(C=C2)N)OC → CC1=CN(C=N1)C2=C(C=C(C=C2)NC3=NC4=C(CN(CC(O4)COC(C)C)C(=O)C)C=C3)OC
143 : C1=CC(=C(C=C1Br)F)C#N + C1=CC=C(C(=C1)N)Cl → C1=CC=C(C(=C1)NC2=CC(=C(C=C2)C#N)F)Cl
144 : CC1=CN=C(N=C1C2=C3C=CC=CN3N=C2)Cl + CC(=O)N1CCC2=CC(=C(C=C21)N)OC → CC1=CN=C(N=C1C2=C3C=CC=CN3N=C2)NC4=C(C=C5CCN(C5=C4)C(=O)C)OC
145 : CC1=NN(C(=C1)C2CN(CC3=C(O2)N=C(C=C3)Cl)CC#N)C + CC1=CN(C=N1)C2=C(C=C(C=C2)N)OC → CC1=NN(C(=C1)C2CN(CC3=C(O2)N=C(C=C3)NC4=CC(=C(C=C4)N5C=C(N=C5)C)OC)CC#N)C
146 : C1=C(C(=CN=C1Cl)C(F)(F)F)I + CONC(=O)C1=C(C=CC(=C1)F)N → CONC(=O)C1=C(C=CC(=C1)F)NC2=CC(=NC=C2C(F)(F)F)Cl
147 : CC1=NN(C=C1NC2=NC=C(C(=C2)I)C(F)(F)F)C + CONC(=O)C1=C(C=C(C=C1)F)N → CC1=NN(C=C1NC2=NC=C(C(=C2)NC3=C(C=CC(=C3)F)C(=O)NOC)C(F)(F)F)C
148 : C1[C@H](OC2=C(CN1CC#N)C=CC(=N2)Cl)C3=CC=CC=C3 + CC1=CN(C=N1)C2=C(C=C(C=C2)N)OC → CC1=CN(C=N1)C2=C(C=C(C=C2)NC3=NC4=C(CN(C[C@H](O4)C5=CC=CC=C5)CC#N)C=C3)OC
149 : C1[C@H](OC2=C(CN1CCO)C=CC(=N2)Cl)C3=CC=CC=C3 + CC1=NN(C=N1)C2=C(C=C(C=C2)N)OC → CC1=NN(C=N1)C2=C(C=C(C=C2)NC3=NC4=C(CN(C[C@H](O4)C5=CC=CC=C5)CCO)C=C3)OC
150 : C1=CN=C(N=C1)Cl + CC1=CN(C=N1)C2=C(C=C(C=C2)N)OC → CC1=CN(C=N1)C2=C(C=C(C=C2)NC3=NC=CC=N3)OC
151 : C1=CN=C(C=C1CO)Cl + CNC1=CC=C(C=C1)F → CN(C1=CC=C(C=C1)F)C2=NC=CC(=C2)CO
152 : C1=C(C=NC=C1Br)Br + CNC1=CC=C(C=C1)F → CN(C1=CC=C(C=C1)F)C2=CC(=CN=C2)Br
153 : CC1=C(C(=CC=C1)C)C(=O)NC(C2=CC=C(C=C2)Br)C34CCC(N3C)CC4 + C1COCCN1 → CC1=C(C(=CC=C1)C)C(=O)NC(C2=CC=C(C=C2)N3CCOCC3)C45CCC(N4C)CC5
154 : CN1CC(OC2=C(C1)C=CC(=N2)Cl)C3CC3 + CC1=CN(C=N1)C2=C(C=C(C=C2)N)OC → CC1=CN(C=N1)C2=C(C=C(C=C2)NC3=NC4=C(CN(CC(O4)C5CC5)C)C=C3)OC
155 : C1[C@H](OC2=C(CN1CCO)C=CC(=N2)Cl)C3=CC=CC=C3 + COC1=C(C=CC(=C1)N)C#N → COC1=C(C=CC(=C1)NC2=NC3=C(CN(C[C@H](O3)C4=CC=CC=C4)CCO)C=C2)C#N
156 : CN1C[C@H](OC2=NC(=NC=C2C1)Cl)C3=CC=CC=C3 + CC1=CN(C=N1)C2=C(C=C(C=C2)N)OC → CC1=CN(C=N1)C2=C(C=C(C=C2)NC3=NC=C4CN(C[C@H](OC4=N3)C5=CC=CC=C5)C)OC
157 : C1[C@H](OC2=NC(=NC=C2CN1CCF)Cl)C3=CC=CC=C3 + CC1=CN(C=N1)C2=C(C=C(C=C2)N)OC → CC1=CN(C=N1)C2=C(C=C(C=C2)NC3=NC=C4CN(C[C@H](OC4=N3)C5=CC=CC=C5)CCF)OC
158 : CC1=NN(C(=C1)C2CN(CC3=C(O2)N=C(C=C3)Cl)CC#N)C + CC1=NC=CN1C2=CC=C(C=C2)N → CC1=NN(C(=C1)C2CN(CC3=C(O2)N=C(C=C3)NC4=CC=C(C=C4)N5C=CN=C5C)CC#N)C
159 : C1[C@H](OC2=C(CN1CCO)C=CC(=N2)Cl)C3=CC=CC=C3 + C1=CC(=C(C=C1N)Cl)N2C=NC=N2 → C1[C@H](OC2=C(CN1CCO)C=CC(=N2)NC3=CC(=C(C=C3)N4C=NC=N4)Cl)C5=CC=CC=C5
160 : C1=CN=CC=C1I + C1=CN=C(N=C1N)Cl → C1=CN=CC=C1NC2=NC(=NC=C2)Cl
161 : C1=CC(=CC=C1O)Br + C1COCCN1 → C1COCCN1C2=CC=C(C=C2)O
162 : C1=CC2=C(C(=C1)Br)OC=C2 + CC(C)(C)OC(=O)N1CCNCC1 → CC(C)(C)OC(=O)N1CCN(CC1)C2=CC=CC3=C2OC=C3
163 : C1[C@H](OC2=C(CN1CCO)C=CC(=N2)Cl)C3=CC=CC=C3 + C1CC2=NN=C(N2C1)C3=CC=C(C=C3)N → C1CC2=NN=C(N2C1)C3=CC=C(C=C3)NC4=NC5=C(CN(C[C@H](O5)C6=CC=CC=C6)CCO)C=C4
164 : COC(=O)C1=C(C=C(C=C1)I)O + CC(C)(C)OC(=O)N1CCNCC1 → CC(C)(C)OC(=O)N1CCN(CC1)C2=CC(=C(C=C2)C(=O)OC)O
165 : CC1=NN(C=C1NC2=NC=C(C(=C2)I)C(F)(F)F)C + CONC(=O)C1=C(C=CC(=C1)F)N → CC1=NN(C=C1NC2=NC=C(C(=C2)NC3=C(C=C(C=C3)F)C(=O)NOC)C(F)(F)F)C
166 : CC1=NN(C(=C1)NC2=NC=C(C(=C2)I)C(F)(F)F)C + CNC(=O)C1=C(C=C(C=C1)F)N → CC1=NN(C(=C1)NC2=NC=C(C(=C2)NC3=C(C=CC(=C3)F)C(=O)NC)C(F)(F)F)C
167 : CC1=NN(C(=C1)NC2=NC=C(C(=C2)I)C(F)(F)F)C + COC1=CC=CC(=C1C(=O)NOC)N → CC1=NN(C(=C1)NC2=NC=C(C(=C2)NC3=C(C(=CC=C3)OC)C(=O)NOC)C(F)(F)F)C
168 : CNC(=O)C1=C(C=C(C=C1)F)NC2=CC(=NC=C2C(F)(F)F)Cl + CC1=NN(C(=C1)N)C → CC1=NN(C(=C1)NC2=NC=C(C(=C2)NC3=C(C=CC(=C3)F)C(=O)NC)C(F)(F)F)C
169 : C1=C(N=C(C=N1)Cl)Cl + CS(=O)(=O)C1=CC=C(C=C1)N → CS(=O)(=O)C1=CC=C(C=C1)NC2=CN=CC(=N2)Cl
170 : COC1=CC(=CC=C1)Br + C1CNCCC1C#N → COC1=CC=CC(=C1)N2CCC(CC2)C#N
171 : COC1=CC(=CC=C1)Br + C1CNCCC1C(=O)N → COC1=CC=CC(=C1)N2CCC(CC2)C(=O)N
172 : C1=CC2=C(C=C1[N+](=O)[O-])SC(=N2)Br + CN → CNC1=NC2=C(S1)C=C(C=C2)[N+](=O)[O-]
173 : C1=CC=C2C(=C1)C(=CN2)C3=NC(=NC=C3Cl)Cl + COC1=C(C=C(C=C1)[N+](=O)[O-])N → COC1=C(C=C(C=C1)[N+](=O)[O-])NC2=NC=C(C(=N2)C3=CNC4=CC=CC=C43)Cl
174 : CC1=CC(=NC2=C1CN(CC(O2)CC(F)(F)F)C)Cl + CN1C=C(C=N1)C2=C(N=C(C=C2)N)OC → CC1=CC(=NC2=C1CN(CC(O2)CC(F)(F)F)C)NC3=NC(=C(C=C3)C4=CN(N=C4)C)OC
175 : C1=C(C=NC=C1Br)Br + CN1CCNCC1 → CN1CCN(CC1)C2=CC(=CN=C2)Br
176 : C1=CSC(=C1)Cl + CC(C)(C)OC(=O)N1CCNCC1 → CC(C)(C)OC(=O)N1CCN(CC1)C2=CC=CS2
177 : C1=CC(=NC=C1C(=O)N)Cl + C1=CC=C(C(=C1)CN)C(F)(F)F → C1=CC=C(C(=C1)CNC2=NC=C(C=C2)C(=O)N)C(F)(F)F
178 : C1=CC(=NC=C1C(=O)N)Cl + C1=CC(=CC(=C1)C(F)(F)F)CN → C1=CC(=CC(=C1)C(F)(F)F)CNC2=NC=C(C=C2)C(=O)N
179 : C1=CC(=NC=C1C(=O)N)Cl + C1=CC(=CC=C1CN)C(F)(F)F → C1=CC(=CC=C1CNC2=NC=C(C=C2)C(=O)N)C(F)(F)F
180 : COC1=C(C=C(C=C1)Br)C#N + C[C@H](CN)O[Si](C)(C)C(C)(C)C → C[C@H](CNC1=CC(=C(C=C1)OC)C#N)O[Si](C)(C)C(C)(C)C
181 : COC(=O)C1=NC=C(C=N1)Br + CC(C)(C)OC(=O)N → CC(C)(C)OC(=O)NC1=CN=C(N=C1)C(=O)OC
182 : CC1=CSC(=N1)C2CN(CC3=C(O2)N=C(C=C3)Cl)C + CN1C=C(C=N1)C2=C(N=C(C=C2)N)OC → CC1=CSC(=N1)C2CN(CC3=C(O2)N=C(C=C3)NC4=NC(=C(C=C4)C5=CN(N=C5)C)OC)C
183 : C1=CN=C(C=C1Cl)Cl + CC1=C(OC(=N1)N)C → CC1=C(OC(=N1)NC2=NC=CC(=C2)Cl)C
184 : CN1C[C@H](OC2=C(C1)C=CC(=N2)Cl)C3=CC=CC=C3 + CC1=CN(C=N1)C2=CN=C(C=C2)N → CC1=CN(C=N1)C2=CN=C(C=C2)NC3=NC4=C(CN(C[C@H](O4)C5=CC=CC=C5)C)C=C3
185 : CC1=CC(=NC2=C1CN(CC(O2)CC(F)(F)F)C)Cl + CC1=CN(C=N1)C2=CN=C(C=C2)N → CC1=CC(=NC2=C1CN(CC(O2)CC(F)(F)F)C)NC3=NC=C(C=C3)N4C=C(N=C4)C
186 : CCOC(=O)C1=CC2=C(O1)C=CC=C2Cl + CC(C)(C)OC(=O)N1CCNCC1 → CCOC(=O)C1=CC2=C(C=CC=C2O1)N3CCN(CC3)C(=O)OC(C)(C)C
187 : C1=CC(=C(C=C1Cl)Br)C#N + C1CNCCN1 → C1CN(CCN1)C2=C(C=CC(=C2)Cl)C#N
188 : C1=CC(=C(C=C1F)Br)C#N + C1CNCCN1 → C1CN(CCN1)C2=C(C=CC(=C2)F)C#N
189 : C1=CN=C(C=C1Cl)Br + C1=COC(=N1)N → C1=CN=C(C=C1Cl)NC2=NC=CO2
190 : C1=CN=C(C=C1Cl)Cl + C1=CC(=CC(=C1)[N+](=O)[O-])N → C1=CC(=CC(=C1)[N+](=O)[O-])NC2=NC=CC(=C2)Cl
191 : CN1CCN(CC1)C2=C(C=C(C(=C2)OC)N)Br + CC(C)(C)OC(=O)N → CC(C)(C)OC(=O)NC1=C(C=C(C(=C1)N)OC)N2CCN(CC2)C
192 : CC1=C(C=C(C=C1)NC(=O)C2=CC3=C(C=C2)OCCO3)NC(=O)C4=CN=C(C=C4)Cl + CN1CCC(CC1)OC2=CC=CC(=C2)N → CC1=C(C=C(C=C1)NC(=O)C2=CC3=C(C=C2)OCCO3)NC(=O)C4=CN=C(C=C4)NC5=CC(=CC=C5)OC6CCN(CC6)C
193 : CC1=C(C=C(C=C1)NC(=O)C2=CC3=C(C=C2)OCCO3)NC(=O)C4=CN=C(C=C4)Cl + CN(C)CC1=CC(=CC=C1)N → CC1=C(C=C(C=C1)NC(=O)C2=CC3=C(C=C2)OCCO3)NC(=O)C4=CN=C(C=C4)NC5=CC=CC(=C5)CN(C)C
194 : CC1=C(C=C(C=C1)NC(=O)C2=CC3=C(C=C2)OCCO3)NC(=O)C4=CN=C(C=C4)Cl + CN(C)C1CCN(C1)C2=CC=CC(=C2)N → CC1=C(C=C(C=C1)NC(=O)C2=CC3=C(C=C2)OCCO3)NC(=O)C4=CN=C(C=C4)NC5=CC(=CC=C5)N6CCC(C6)N(C)C
195 : C1=CN=C(C=C1Cl)Cl + CC1=COC(=N1)N → CC1=COC(=N1)NC2=NC=CC(=C2)Cl
196 : C1=C(C=NC=C1Br)Br + CO[C@@H]1CCNC1 → CO[C@@H]1CCN(C1)C2=CC(=CN=C2)Br
197 : C1=CC=C(C=C1)COC2=C(C=C(C=C2)Br)F + C[C@H](CN)O[Si](C)(C)C(C)(C)C → C[C@H](CNC1=CC(=C(C=C1)OCC2=CC=CC=C2)F)O[Si](C)(C)C(C)(C)C
198 : C1=CC=C(C=C1)COC2=CC=C(C=C2)Br + C[C@H](CN)O[Si](C)(C)C(C)(C)C → C[C@H](CNC1=CC=C(C=C1)OCC2=CC=CC=C2)O[Si](C)(C)C(C)(C)C
199 : C1=CN=C(C=C1Cl)Cl + C1=C(N=C(O1)N)C(F)(F)F → C1=CN=C(C=C1Cl)NC2=NC(=CO2)C(F)(F)F
200 : C1=CC(=CC=C1F)Br + C1CNC(=O)CN1 → C1CN(CC(=O)N1)C2=CC=C(C=C2)F
201 : C1=CC(=CC=C1F)Br + C1CN(CCN1)CC2=CC=CC=C2 → C1CN(CCN1CC2=CC=CC=C2)C3=CC=C(C=C3)F
202 : CN1C[C@H](OC2=C(C1)C=CC(=N2)Cl)C3=CC=CC=C3 + CN1C=C(C=N1)C2=C(N=C(C=C2)N)OC → CN1C[C@H](OC2=C(C1)C=CC(=N2)NC3=NC(=C(C=C3)C4=CN(N=C4)C)OC)C5=CC=CC=C5
203 : C1=CN=C(C=C1Cl)Cl + CCOC(=O)C1=CN=C(O1)N → CCOC(=O)C1=CN=C(O1)NC2=NC=CC(=C2)Cl
204 : C1=CN=C(C=C1Cl)Cl + C1=COC(=N1)N → C1=CN=C(C=C1Cl)NC2=NC=CO2
205 : C1=CC(=CC(=C1)OC(F)(F)F)C2=CN=C3N2N=C(C=C3)Cl + CN1CCC(CC1)CN → CN1CCC(CC1)CNC2=NN3C(=NC=C3C4=CC(=CC=C4)OC(F)(F)F)C=C2
206 : CC1=C(C=C(C=C1)[N+](=O)[O-])Br + CC1=NC2=C(C=C1)C=C(C=C2)C(=O)N → CC1=C(C=C(C=C1)[N+](=O)[O-])NC(=O)C2=CC3=C(C=C2)N=C(C=C3)C
207 : C1CC1NC2=CC(=NC3=C(C=NN23)C#N)Cl + CC(=O)NC1=C(C=CC(=C1)N)N2CC[C@H](C2)NC(=O)OC(C)(C)C → CC(=O)NC1=C(C=CC(=C1)NC2=NC3=C(C=NN3C(=C2)NC4CC4)C#N)N5CC[C@H](C5)N
208 : CCOC(=O)C1=CC2=C(O1)C=CC=C2Br + CC(C)(C)OC(=O)N1CCNCC1 → CCOC(=O)C1=CC2=C(C=CC=C2O1)N3CCN(CC3)C(=O)OC(C)(C)C
209 : CN1CC(OC2=C(C1)C=CC(=N2)Cl)CC(F)(F)F + CN1C=C(C=CC1=O)C2=C(N=C(C=C2)N)OC → CN1CC(OC2=C(C1)C=CC(=N2)NC3=NC(=C(C=C3)C4=CN(C(=O)C=C4)C)OC)CC(F)(F)F
210 : C1=C(C=C(C=C1F)Br)F + COC(=O)C1=CC2=C(C(=C1)C3CCCN3)OC(=CC2=O)N4CCOCC4 → COC(=O)C1=CC2=C(C(=C1)C3CCCN3C4=CC(=CC(=C4)F)F)OC(=CC2=O)N5CCOCC5
211 : C1=CN=C(C=C1Cl)Cl + CCOC(=O)C1=COC(=N1)N → CCOC(=O)C1=COC(=N1)NC2=NC=CC(=C2)Cl
212 : CC1=CC(=NC=C1)C2CN(CC3=C(O2)N=C(C=C3)Cl)C + CN1C=C(C=N1)C2=C(N=C(C=C2)N)OC → CC1=CC(=NC=C1)C2CN(CC3=C(O2)N=C(C=C3)NC4=NC(=C(C=C4)C5=CN(N=C5)C)OC)C
213 : CC1=CN=C(C=C1)C2CN(CC3=C(O2)N=C(C=C3)Cl)C + CN1C=C(C=N1)C2=C(N=C(C=C2)N)OC → CC1=CN=C(C=C1)C2CN(CC3=C(O2)N=C(C=C3)NC4=NC(=C(C=C4)C5=CN(N=C5)C)OC)C
214 : C1=C(C=C(C=C1F)Br)F + CN(C)C(=O)C1=CC2=C(C(=C1)C3CCCN3)OC(=CC2=O)N4CCOCC4 → CN(C)C(=O)C1=CC2=C(C(=C1)C3CCCN3C4=CC(=CC(=C4)F)F)OC(=CC2=O)N5CCOCC5
215 : CCOC(=O)C1=CC=C(C=C1)Br + C1CCNCC1 → CCOC(=O)C1=CC=C(C=C1)N2CCCCC2
216 : CC(C)(C)OC(=O)C1=CN=C(C=C1)Br + C1CCNCC1 → CC(C)(C)OC(=O)C1=CN=C(C=C1)N2CCCCC2
217 : COC(=O)C1=CC(=CC(=C1)Br)C(=O)OC + C1COCCN1 → COC(=O)C1=CC(=CC(=C1)N2CCOCC2)C(=O)OC
218 : C1=C(C=NC=C1Br)Br + C1COCCN1 → C1COCCN1C2=CC(=CN=C2)Br
219 : C1=C(C=NC=C1Br)Br + CNCCOC → CN(CCOC)C1=CC(=CN=C1)Br
220 : COC1=CC(=NC=C1)Cl + C1=CC(=CC=C1N)S(=O)(=O)N → COC1=CC(=NC=C1)NC2=CC=C(C=C2)S(=O)(=O)N
221 : C1=CC=C(C=C1)Br + C1=CC(=CC=C1N)S(=O)(=O)N → C1=CC=C(C=C1)NC2=CC=C(C=C2)S(=O)(=O)N
222 : COC1=CC(=CC=C1)Br + CN(C)C(=O)C1=CC2=C(C(=C1)C3CCCN3)OC(=CC2=O)N4CCOCC4 → CN(C)C(=O)C1=CC2=C(C(=C1)C3CCCN3C4=CC(=CC=C4)OC)OC(=CC2=O)N5CCOCC5
223 : C1=CC=C(C(=C1)[N+](=O)[O-])Br + C1=CC=C(C=C1)N → C1=CC=C(C=C1)NC2=CC=CC=C2[N+](=O)[O-]
224 : CC1=CSC(=N1)C2CN(CC3=C(O2)N=C(C=C3)Cl)C + CC1=CN(C=N1)C2=C(N=C(C=C2)N)OC → CC1=CN(C=N1)C2=C(N=C(C=C2)NC3=NC4=C(CN(CC(O4)C5=NC(=CS5)C)C)C=C3)OC
225 : COC(=O)C1=C(C=CC(=C1)Br)I + C1COCCN1 → COC(=O)C1=C(C=CC(=C1)Br)N2CCOCC2
226 : COC(=O)C1=CC(=C(C=C1)I)Br + C1COCCN1 → COC(=O)C1=CC(=C(C=C1)N2CCOCC2)Br
227 : C1=CC(=CC(=C1)Br)F + CN(C)C(=O)C1=CC2=C(C(=C1)C3CCCN3)OC(=CC2=O)N4CCOCC4 → CN(C)C(=O)C1=CC2=C(C(=C1)C3CCCN3C4=CC(=CC=C4)F)OC(=CC2=O)N5CCOCC5
228 : CN1C[C@H](OC2=C(C1)C=CC(=N2)Cl)C3=CC=CC=C3 + CN1C=C(C=CC1=O)C2=C(N=C(C=C2)N)OC → CN1C[C@H](OC2=C(C1)C=CC(=N2)NC3=NC(=C(C=C3)C4=CN(C(=O)C=C4)C)OC)C5=CC=CC=C5
229 : CC1=C(N=CN=C1Cl)N2C=NC3=CC=CC=C32 + CN(C)CCOC1=CN=C(C=C1)N → CC1=C(N=CN=C1N2C=NC3=CC=CC=C32)NC4=NC=C(C=C4)OCCN(C)C
230 : CN1CC(OC2=C(C1)C=CC(=N2)Cl)CC(F)(F)F + CN1C=C(C=N1)C2=C(N=C(C=C2)N)OC → CN1CC(OC2=C(C1)C=CC(=N2)NC3=NC(=C(C=C3)C4=CN(N=C4)C)OC)CC(F)(F)F
231 : CC1C(OC2=C(CN1C)C=CC(=N2)Cl)C3=NC(=CS3)C + CN1C=C(C=N1)C2=C(N=C(C=C2)N)OC → CC1C(OC2=C(CN1C)C=CC(=N2)NC3=NC(=C(C=C3)C4=CN(N=C4)C)OC)C5=NC(=CS5)C
232 : C1=CC(=CC(=C1)Br)F + COC(=O)C1=CC2=C(C(=C1)C3CCCN3)OC(=CC2=O)N4CCOCC4 → COC(=O)C1=CC2=C(C(=C1)C3CCCN3C4=CC(=CC=C4)F)OC(=CC2=O)N5CCOCC5
233 : COC1=C(C=C(C(=C1)Cl)C(=O)OC)Br + C1COCCN1 → COC1=C(C=C(C(=C1)Cl)C(=O)OC)N2CCOCC2
234 : COC1=C(C=C(C=C1)[N+](=O)[O-])Br + C1=CC2=C(C=NN2C=C1)C3=NC(=NC=C3Cl)N → COC1=C(C=C(C=C1)[N+](=O)[O-])NC2=NC=C(C(=N2)C3=C4C=CC=CN4N=C3)Cl
235 : CN(C)C(=O)CC1=CC=C(C=C1)Br + C1C[C@@H](C2=NC(=NN2C1)N)C3=CC=C(C=C3)F → CN(C)C(=O)CC1=CC=C(C=C1)NC2=NN3CCCC(C3=N2)C4=CC=C(C=C4)F
236 : CN1CC(OC2=C(C1)C=CC(=N2)Cl)C3CC(C3)(F)F + CN1C=C(C=N1)C2=C(N=C(C=C2)N)OC → CN1CC(OC2=C(C1)C=CC(=N2)NC3=NC(=C(C=C3)C4=CN(N=C4)C)OC)C5CC(C5)(F)F
237 : C1=CC(=NC(=C1)Cl)Cl + C1=CC(=C(C=C1Cl)N)C#N → C1=CC(=NC(=C1)Cl)NC2=C(C=CC(=C2)Cl)C#N
238 : CC(C)OC(=O)N1CCC(CC1)OC2=C(C(=NC=N2)Cl)OC + CC1=C(C=CC(=N1)S(=O)(=O)C)N → CC1=C(C=CC(=N1)S(=O)(=O)C)NC2=C(C(=NC=N2)OC3CCN(CC3)C(=O)OC(C)C)OC
239 : C1=CN=C(C=C1Cl)Cl + C1=CC=C(C=C1)CN → C1=CC=C(C=C1)CNC2=NC=CC(=C2)Cl
240 : C1=CN=C(C=C1Cl)Cl + CC(C)CN → CC(C)CNC1=NC=CC(=C1)Cl
241 : C1=CC=C(C=C1)COC2=CC(=CC=C2)Br + CC1=CC2=C(N1)C=C(C=C2)OC(F)(F)F → CC1=CC2=C(N1C3=CC(=CC=C3)OCC4=CC=CC=C4)C=C(C=C2)OC(F)(F)F
242 : C1=CC(=CC=C1C#N)Br + C1CNC1 → C1CN(C1)C2=CC=C(C=C2)C#N
243 : CC1=C(C=CC=N1)Br + CC(C)(C)OC(=O)N1CCNCC1 → CC1=C(C=CC=N1)N2CCN(CC2)C(=O)OC(C)(C)C
244 : COC1=CC(=CC=C1)Br + CC1=CC2=C(N1)C=C(C=C2)OC(F)(F)F → CC1=CC2=C(N1C3=CC(=CC=C3)OC)C=C(C=C2)OC(F)(F)F
245 : C1=CC(=CC=C1Br)I + C[C@@H]1CNC[C@@H](N1)C → C[C@@H]1CN(C[C@@H](N1)C)C2=CC=C(C=C2)Br
246 : C1=CC(=C(C(=C1)F)C2=CC=C(C=C2)Br)F + C[C@H](CN)O[Si](C)(C)C(C)(C)C → C[C@H](CNC1=CC=C(C=C1)C2=C(C=CC=C2F)F)O[Si](C)(C)C(C)(C)C
247 : C1=CC=C(C=C1)COC2=CC(=CC=C2)I + CC1=CC2=C(N1)C=C(C=C2)OC(F)(F)F → CC1=CC2=C(N1C3=CC(=CC=C3)OCC4=CC=CC=C4)C=C(C=C2)OC(F)(F)F
248 : C1=C(C=NC=C1Br)C(F)(F)F + CC(C)(C)OC(=O)N1C[C@@H]2C[C@H]1CN2 → CC(C)(C)OC(=O)N1CC2CC1CN2C3=CN=CC(=C3)C(F)(F)F
249 : C1=C(C=NC=C1Br)C(F)(F)F + CC(C)(C)OC(=O)N1CCNCC1 → CC(C)(C)OC(=O)N1CCN(CC1)C2=CN=CC(=C2)C(F)(F)F
250 : C1=CC(=CC=C1C#N)Br + CCNCC → CCN(CC)C1=CC=C(C=C1)C#N
251 : C1=CN=C(C=N1)Cl + C1=CC(=CC(=C1)S(=O)(=O)N)N → C1=CC(=CC(=C1)S(=O)(=O)N)NC2=NC=CN=C2
252 : C1=C(C=NC=N1)Br + C1=CC(=CC(=C1)S(=O)(=O)N)N → C1=CC(=CC(=C1)S(=O)(=O)N)NC2=CN=CN=C2
253 : C1=CC(=CC=C1CC#N)Br + C1C[C@@H](C2=NC(=NN2C1)N)C3=CC=C(C=C3)F → C1CC(C2=NC(=NN2C1)NC3=CC=C(C=C3)CC#N)C4=CC=C(C=C4)F
254 : C1=CC=C2C(=C1)N=CN2C3=CC(=NC=N3)Cl + CN1CCC[C@@H]1COC2=CN=C(C=C2)N → CN1CCC[C@@H]1COC2=CN=C(C=C2)NC3=CC(=NC=N3)N4C=NC5=CC=CC=C54
255 : COC1=CC(=CN=C1)Br + C1CNCCC12OCCO2 → COC1=CN=CC(=C1)N2CCC3(CC2)OCCO3
256 : C1=CC(=CN=C1)Br + C1=CC(=CN=C1)N → C1=CC(=CN=C1)NC2=CN=CC=C2
257 : CN(C)C(=O)C1=CC=C(C=C1)Br + C1C[C@@H](C2=NC(=NN2C1)N)C3=CC=C(C=C3)F → CN(C)C(=O)C1=CC=C(C=C1)NC2=NN3CCCC(C3=N2)C4=CC=C(C=C4)F
258 : C1=C(C=C(C=C1F)Br)C#N + CN(C)C(=O)C1=CC2=C(C(=C1)C3CCCN3)OC(=CC2=O)N4CCOCC4 → CN(C)C(=O)C1=CC2=C(C(=C1)C3CCCN3C4=CC(=CC(=C4)C#N)F)OC(=CC2=O)N5CCOCC5
